sku,listingId,donor,rule,engine,n_vehicles,sources,models,action,reason
60883,407183140382,BMW 128i [E82],A,,14,chassis+etk,"1 Series M,128i,135i,135is",pushed,not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Panels > Fenders) (+12 ETK rows) [catalog: 10 dropped_vehicle]
60879,407183140383,BMW 128i [E82],A,,14,chassis+etk,"1 Series M,128i,135i,135is",pushed,not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Hoods > Hood Panels) (+12 ETK rows) [catalog: 10 dropped_vehicle]
64618,407183136866,,,,,,,skip,no Shopify donor for SKU
64612,407183136932,,,,,,,skip,no Shopify donor for SKU
64549,407183136919,,,,,,,skip,no Shopify donor for SKU
64613,407183136916,,,,,,,skip,no Shopify donor for SKU
64616,407183136712,,,,,,,skip,no Shopify donor for SKU
64608,407183136844,,,,,,,skip,no Shopify donor for SKU
64611,407183136802,,,,,,,skip,no Shopify donor for SKU
64615,407183136738,,,,,,,skip,category 107062 never renders fitment on eBay
64620,407183136671,,,,,,,skip,no Shopify donor for SKU
64610,407183136716,,,,,,,skip,no Shopify donor for SKU
64609,407183136829,,,,,,,skip,no Shopify donor for SKU
64619,407183136696,,,,,,,skip,no Shopify donor for SKU
64617,407183136467,,,,,,,skip,no Shopify donor for SKU
64614,407183136456,,,,,,,skip,no Shopify donor for SKU
41371,407087371193,,,,,,,skip,category 179671 never renders fitment on eBay
41372,407087357681,,,,,,,skip,category 179671 never renders fitment on eBay
40852,407087356280,,,,,,,skip,category 179671 never renders fitment on eBay
40853,407087336822,,,,,,,skip,category 179671 never renders fitment on eBay
46831,407087220669,,,,,,,skip,category 179671 never renders fitment on eBay
46834,407087209274,,,,,,,skip,category 179671 never renders fitment on eBay
46832,407087203064,,,,,,,skip,category 179671 never renders fitment on eBay
